  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
 48     46         0         0         0         0         0         0         0
 48     48         0         0         0         0         0         0         0
 48     50         0         0         0         0         0         0         0
 48     52         0         0         0         0         0         0         0
 48     54         0         0         0         0         0         0         0
 48     56         0         0         0         0         0         0         0
 48     58         0         0         0         0         0         0         0
 48     60         0         0         0         0         0         0         0
 48     62         0         0         0         0         0         0         0
 48     64         0         0         0         0         0         0         0
 48     66         0         0         0         0         0         0         0
 48     68         0         0         0         0         0         0         0
 48     70         0         0         0         0         0         0         0
 48     72         0         0         0         0         0         0         0
 48     74         0         0         0         0         0         0         0
 48     76         0         0         0         0         0         0         0
 48     78         0         0         0         0         0         0         0
 48     80         0         0         0         0         0         0         0
 48     82         0         0         0         0         0         0         0
 48     84         0         0         0         0         0         0         0
 48     86         0         0         0         0         0         0         0
 48     88         0         0         0         0         0         0         0
 48     90         0         0         0         0         0         0         0
 48     92         0         0         0         0         0         0         0
 48     94         0         0         0         0         0         0         0
 48     96         0         0         0         0         0         0         0
 48     98         0         0         0         0         0         0         0
 48    100         0         0         0         0         0         0         0
 48    102         0         0         0         0         0         0         0
 48    104         0         0         0         0         0         0         0
 48    106         0         0         0         0         0         0         0
 48    108         0         0         0         0         0         0         0
 48    110         0         0         0         0         0         0         0
 48    112         0         0         0         0         0         0         0
 48    114         0         0         0         0         0         0         0
 48    116         0         0         0         0         0         0         0
 48    118         0         0         0         0         0         0         0
 48    120         0         0         0         0         0         0         0
 48    122         0         0         0         0         0         0         0
 48    124         0         0         0         0         0         0         0
 48    126         0         0         0         0         0         0         0
 50     48         0         0         0         0         0         0         0
 50     50         0         0         0         0         0         0         0
 50     52         0         0         0         0         0         0         0
 50     54         0         0         0         0         0         0         0
 50     56         0         0         0         0         0         0         0
 50     58         0         0         0         0         0         0         0
 50     60         0         0         0         0         0         0         0
 50     62         0         0         0         0         0         0         0
 50     64         0         0         0         0         0         0         0
 50     66         0         0         0         0         0         0         0
 50     68         0         0         0         0         0         0         0
 50     70         0         0         0         0         0         0         0
 50     72         0         0         0         0         0         0         0
 50     74         0         0         0         0         0         0         0
 50     76         0         0         0         0         0         0         0
 50     78         0         0         0         0         0         0         0
 50     80         0         0         0         0         0         0         0
 50     82         0         0         0         0         0         0         0
